Unnamed: 0,Ticker,Implosion_Date
3,MBGCF,2016-10-02
4,MBGCF,2018-05-06
5,MBGCF,2022-04-03
6,ECK,2016-06-12
10,TAOP,2011-08-14
11,TAOP,2022-01-09
15,GIPL,2014-05-25
18,RTME,2012-05-27
19,NEGG,2022-05-15
20,DUR,2017-04-23
21,LEDS,2022-05-01
24,BNMV,2021-12-26
27,ELRE,2011-05-29
28,ELRE,2021-02-28
30,ASLN,2022-01-23
31,FTO,2012-09-30
32,NHKGF,2022-04-03
33,MVES,2016-01-10
34,SLUNF,2022-06-19
35,CNXA,2022-09-18
40,NBE,2015-08-16
44,ITGMF,2022-06-05
45,JSGCF,2016-10-02
46,JSGCF,2018-04-01
47,JSGCF,2019-09-29
48,JSGCF,2021-10-03
53,CETEF,2015-11-15
54,CETEF,2019-10-27
55,PTV,2012-01-01
56,BHOOY,2021-12-19
59,ILPT,2022-09-04
60,BETS,2021-12-05
61,OISXF,2022-09-04
62,ABEO,2012-07-15
63,ABIO,2011-08-07
64,ABVC,2010-04-04
65,ACB,2019-12-01
66,ACHV,2014-05-11
67,ACOR,2019-07-14
68,ACRX,2022-01-23
69,ACST,2021-11-21
70,ADIL,2022-07-24
71,AEHL,2022-01-30
72,AEMD,2017-06-11
73,AEZS,2012-04-15
74,AGLE,2022-03-06
75,AGRX,2021-10-10
76,AHT,2020-06-21
77,AIM,2010-06-27
78,AIM,2019-07-28
79,AIU,2021-05-30
80,AKTX,2018-02-04
81,AKTX,2022-10-16
82,ALLK,2021-12-26
83,ALPP,2018-01-14
84,ALPP,2022-04-03
85,ALRN,2018-07-29
86,AMC,2022-08-28
87,AMPE,2016-07-10
88,AMPE,2018-08-12
89,AMPE,2021-12-26
90,AMSC,2011-05-22
91,ANTE,2018-04-08
92,ANY,2015-12-06
93,APDN,2019-07-28
94,APM,2020-03-01
95,APRE,2021-02-07
96,APRN,2022-10-16
97,APVO,2019-03-10
98,APVO,2021-12-05
99,AQB,2018-01-14
100,AQB,2021-12-05
101,ARAV,2017-09-24
102,ARCT,2017-02-05
103,ASMB,2012-07-15
104,ASMB,2020-11-08
105,ASXC,2019-05-12
106,ATHE,2014-11-09
107,ATHX,2022-06-12
108,ATNF,2022-01-23
109,ATOS,2015-11-22
110,ATXI,2021-06-20
111,AUID,2022-06-19
112,AUMN,2013-04-21
113,AVGR,2016-07-31
114,AWH,2010-08-15
115,AWH,2021-11-28
116,AXDX,2022-01-30
117,AYRO,2014-12-07
118,AYTU,2016-01-10
119,BAND,2022-02-27
120,BBLG,2022-10-16
121,BEST,2022-04-24
122,BHC,2016-03-06
123,BILI,2022-01-23
124,BIMI,2011-06-26
125,BIMI,2022-01-09
126,BIOC,2016-05-15
127,BIOL,2017-12-10
128,BLIN,2018-10-21
129,BLPH,2019-01-27
130,BNGO,2019-08-25
131,BNTC,2016-01-03
132,BPTH,2017-05-14
133,BRQS,2022-01-02
134,BRTX,2018-11-25
135,BTCM,2022-01-23
136,BTCS,2011-11-20
137,BTCS,2016-06-19
138,BTOG,2022-06-05
139,BTTR,2011-08-28
140,BTTR,2020-01-26
141,BXRX,2021-05-09
142,BYND,2022-03-13
143,CANF,2019-05-05
144,CARV,2010-11-21
145,CASI,2022-05-01
146,CDLX,2022-05-08
147,CEAD,2015-03-22
148,CEAD,2022-02-13
149,CEI,2014-11-16
150,CELZ,2017-10-08
151,CENN,2013-09-29
152,CETX,2018-12-16
153,CFRX,2022-07-17
154,CGRN,2015-10-04
155,CHEK,2018-02-11
156,CHGG,2021-11-07
157,CJJD,2022-01-30
158,CLRB,2010-02-28
159,CMMB,2021-10-03
160,CNSP,2022-01-02
161,COCP,2013-04-07
162,COE,2021-06-06
163,COMS,2016-01-03
164,CRBP,2022-01-02
165,CRDF,2017-03-19
166,CREX,2013-05-26
167,CRNC,2022-02-27
168,CTRM,2020-02-16
169,CTRN,2022-04-03
170,CUEN,2011-09-18
171,CVM,2016-12-04
172,CVM,2022-01-23
173,CVNA,2022-04-24
174,CWBR,2021-12-05
175,CYCC,2015-03-08
176,CYCN,2022-01-30
177,CYTH,2022-05-08
178,CYTO,2016-10-16
179,DCTH,2019-05-05
180,DGLY,2022-10-30
181,DOCU,2022-05-01
182,DSS,2014-12-21
183,DSS,2019-11-03
184,DUO,2021-07-11
185,DXF,2022-05-01
186,EAST,2022-05-15
187,ECOR,2019-09-29
188,EDSA,2018-05-13
189,EDU,2021-07-25
190,EFOI,2016-08-21
191,EHTH,2022-02-06
192,EKSO,2019-09-01
193,ELDN,2016-09-25
194,ELOX,2013-04-07
195,ENLV,2016-05-22
196,ENSC,2021-08-08
197,ENVB,2018-02-04
198,EPIX,2017-06-11
199,EPIX,2022-03-06
200,ESPR,2015-10-11
201,ESPR,2021-10-17
202,EVBG,2022-01-23
203,EVFM,2015-12-20
204,EVFM,2021-07-18
205,EVLO,2022-02-13
206,EVOK,2021-05-16
207,EXPR,2022-09-18
208,FAMI,2019-07-21
209,FAMI,2021-10-24
210,FBIO,2013-12-29
211,FBIO,2022-04-17
212,FBRX,2019-09-01
213,FCEL,2016-12-04
214,FEDU,2019-02-17
215,FSLY,2022-02-20
216,FUV,2022-04-24
217,FVRR,2022-01-30
218,FWBI,2021-09-26
219,GAME,2020-03-01
220,GEVO,2012-09-30
221,GHSI,2021-12-19
222,GLBS,2017-05-14
223,GLG,2018-07-29
224,GMBL,2022-01-02
225,GMGI,2011-07-31
226,GNLN,2021-11-21
227,GOTU,2021-04-11
228,GRNQ,2019-06-16
229,GRNQ,2022-01-23
230,GROM,2018-09-16
231,HALL,2020-03-15
232,HARP,2022-01-23
233,HEPA,2017-12-17
234,HGEN,2017-10-29
235,HGEN,2021-10-03
236,HSDT,2019-04-21
237,HSTO,2019-03-24
238,HUGE,2019-07-28
239,IBIO,2018-06-24
240,IBIO,2022-01-23
241,ICLK,2022-01-30
242,ICPT,2020-10-25
243,IDEX,2022-01-23
244,IGMS,2021-12-19
245,IMTE,2022-07-10
246,INDP,2019-09-15
247,INPX,2015-11-22
248,IONM,2022-08-14
249,IOVA,2012-12-09
250,IPDN,2015-08-09
251,ITP,2022-07-03
252,ITRM,2021-12-05
253,IVR,2020-03-22
254,JAGX,2017-10-01
255,JFU,2022-08-28
256,JYNT,2022-05-08
257,KALA,2021-10-10
258,KALV,2016-06-05
259,KERN,2022-01-23
260,KOD,2022-08-14
261,KPLT,2021-10-10
262,KPRX,2018-02-25
263,KRNT,2022-05-15
264,KTRA,2017-06-11
265,KXIN,2019-05-05
266,KXIN,2022-01-16
267,LEDS,2022-05-01
268,LEJU,2017-07-30
269,LEJU,2022-01-30
270,LFLY,2022-08-07
271,LGMK,2015-10-18
272,LIFE,2016-05-08
273,LIFE,2018-05-20
274,LIQT,2022-04-10
275,LIZI,2021-12-05
276,LKCO,2020-01-19
277,LKCO,2022-03-13
278,LMNL,2018-11-11
279,LODE,2017-11-19
280,LODE,2022-05-08
281,LPCN,2018-01-21
282,LSPD,2022-01-23
283,MARA,2018-09-30
284,MARK,2022-05-15
285,MBIO,2022-01-30
286,MDGS,2016-12-04
287,MEIP,2015-03-29
288,MEIP,2022-03-27
289,MFH,2018-06-03
290,MIGI,2014-01-05
291,MINM,2022-04-03
292,MNTS,2021-12-19
293,MOBQ,2021-12-19
294,MOGU,2021-12-05
295,MOTS,2022-01-30
296,MRIN,2022-06-05
297,MRKR,2010-03-28
298,MRKR,2022-01-16
299,MTC,2022-01-02
300,MTEM,2022-01-30
301,MULN,2015-05-31
302,MYMD,2018-12-16
303,MYO,2022-04-24
304,MYSZ,2019-11-24
305,NAVB,2022-08-28
306,NBSE,2018-01-14
307,NBSE,2022-01-16
308,NBY,2015-10-25
309,NCMI,2022-09-25
310,NCTY,2022-01-02
311,NDRA,2022-01-02
312,NEGG,2022-05-15
313,NEPH,2010-06-27
314,NEPT,2021-08-15
315,NISN,2021-12-19
316,NKTR,2022-03-20
317,NLTX,2018-07-01
318,NLTX,2022-01-23
319,NNVC,2018-06-17
320,NRBO,2018-09-23
321,NSPR,2014-11-30
322,NURO,2010-08-22
323,NUWE,2015-12-20
324,NUZE,2022-06-19
325,NVAX,2016-09-25
326,NVAX,2022-04-10
327,NVIV,2017-12-10
328,NXPL,2012-12-16
329,NXPL,2016-03-06
330,NXTP,2021-12-05
331,OBLG,2021-11-21
332,OCFT,2021-08-08
333,OCGN,2018-09-09
334,OCUP,2019-01-27
335,OCX,2022-01-23
336,OGEN,2018-05-06
337,OKTA,2022-05-22
338,ONCT,2013-10-06
339,ONCT,2018-09-23
340,ONTX,2014-07-27
341,OPGN,2017-07-16
342,OPTT,2014-12-14
343,OPTT,2017-04-30
344,ORTX,2021-10-24
345,OTRK,2010-07-18
346,PALI,2017-07-30
347,PALT,2019-10-06
348,PBLA,2022-08-28
349,PBTS,2022-10-09
350,PBYI,2019-06-09
351,PCSA,2015-09-27
352,PETZ,2018-09-23
353,PETZ,2022-01-16
354,PHIO,2015-01-25
355,PHUN,2019-04-14
356,PIXY,2019-04-21
357,PLX,2021-08-15
358,PMCB,2021-08-15
359,POAI,2016-02-28
360,PRSO,2018-10-07
361,PSHG,2017-04-02
362,PSTV,2017-10-15
363,PTON,2021-12-05
364,PULM,2018-04-01
365,QLGN,2017-04-30
366,QNRX,2018-12-30
367,QUBT,2010-03-28
368,RAD,2017-07-09
369,RCRT,2013-09-29
370,RCRT,2022-04-24
371,RDHL,2021-11-21
372,REED,2022-01-23
373,RELI,2022-07-17
374,RETO,2018-12-09
375,RGLS,2018-07-08
376,RIBT,2022-09-25
377,RKDA,2022-10-16
378,RNG,2022-05-01
379,ROKU,2022-02-20
380,RSLS,2018-05-13
381,RWLK,2016-10-30
382,SBET,2022-01-16
383,SE,2022-03-06
384,SECO,2021-11-21
385,SEEL,2016-05-08
386,SFIX,2021-12-12
387,SHIP,2010-01-31
388,SHOP,2022-04-24
389,SIEN,2022-04-03
390,SINT,2015-02-15
391,SIOX,2017-10-01
392,SISI,2022-03-20
393,SKIL,2022-09-04
394,SLDB,2019-03-03
395,SLNH,2022-08-21
396,SLRX,2018-06-17
397,SLS,2011-03-06
398,SLS,2016-07-10
399,SNAX,2022-01-09
400,SNES,2020-01-26
401,SNOA,2018-09-16
402,SONM,2020-05-10
403,SONN,2016-05-29
404,SOS,2018-12-23
405,SPCB,2022-05-22
406,SPI,2017-01-22
407,SQ,2022-06-12
408,STAF,2016-07-03
409,STG,2021-10-03
410,SVFD,2014-12-21
411,SXTC,2020-01-12
412,SYRS,2022-01-23
413,TANH,2016-05-01
414,TAOP,2011-08-14
415,TAOP,2022-01-09
416,TARA,2016-12-18
417,TBLT,2020-01-19
418,TCON,2019-04-14
419,TCON,2022-01-09
420,TDOC,2022-05-01
421,TENX,2012-12-16
422,TGTX,2011-06-26
423,TGTX,2022-01-23
424,THMO,2015-12-20
425,TISI,2021-09-26
426,TLRY,2019-08-25
427,TMBR,2019-04-28
428,TNXP,2016-02-21
429,TOPS,2011-07-17
430,TPST,2015-11-08
431,TREE,2022-06-19
432,TRVN,2021-12-05
433,TTNP,2018-10-21
434,TTOO,2021-12-05
435,TWLO,2022-05-01
436,TXG,2022-04-24
437,TXMD,2010-08-15
438,UAVS,2015-04-19
439,UBX,2021-12-05
440,UPH,2021-10-03
441,VAPO,2022-04-10
442,VBIV,2012-04-22
443,VEON,2022-03-20
444,VERB,2019-04-07
445,VERO,2018-10-28
446,VINO,2022-05-08
447,VISL,2015-01-04
448,VIVE,2013-11-03
449,VIVK,2010-09-12
450,VJET,2014-12-14
451,VRME,2016-01-24
452,VSTM,2015-10-04
453,VTGN,2012-09-23
454,VVPR,2022-01-16
455,VXRT,2011-07-24
456,VYNE,2021-08-15
457,W,2022-04-24
458,WINT,2010-06-20
459,WISA,2019-07-28
460,WIX,2022-02-20
461,WKEY,2022-03-06
462,WKSP,2015-01-25
463,WORX,2018-02-11
464,WPRT,2014-10-12
465,WPRT,2022-01-23
466,WTER,2022-05-08
467,WW,2022-03-06
468,WWR,2015-12-20
469,XBIO,2019-07-21
470,XCUR,2021-11-21
471,XELA,2019-08-11
472,XFOR,2018-12-02
473,XTNT,2016-10-30
474,YCBD,2021-12-26
475,YTEN,2012-01-15
476,ZLAB,2022-01-16
477,ZM,2022-03-06
